day,timestamp,mid_price,z_score,momentum,future_return_5
-1,0,2005.5,,,0.0
-1,100,2005.5,,0.0,0.0007479431563202077
-1,200,2004.5,,-1.0,0.0014966325767025168
-1,300,2004.5,,0.0,0.0009977550511348632
-1,400,2005.5,,1.0,0.0004986287708801385
-1,500,2005.5,,0.0,0.00024931438544006923
-1,600,2007.0,,1.5,0.0004982561036372957
-1,700,2007.5,,0.5,-0.0002490660024906388
-1,800,2006.5,,-1.0,0.0009967605282830139
-1,900,2006.5,,0.0,0.000498380264141618
-1,1000,2006.0,,-0.5,0.0009970089730808596
-1,1100,2008.0,,2.0,0.0
-1,1200,2007.0,,-1.0,0.0004982561036372957
-1,1300,2008.5,,1.5,0.0004978839930296353
-1,1400,2007.5,,-1.0,0.0007471980074720275
-1,1500,2008.0,,0.5,0.0012450199203186685
-1,1600,2008.0,,0.0,0.0004980079681276006
-1,1700,2008.0,,0.0,0.0004980079681276006
-1,1800,2009.5,,1.5,0.0002488181139586043
-1,1900,2009.0,1.45095705722446,-0.5,0.0007466401194624606
-1,2000,2010.5,2.074434746055127,1.5,0.0
-1,2100,2009.0,1.0363027766903417,-1.5,0.001244400199104101
-1,2200,2009.0,0.9588483214604557,0.0,0.0004977600796416404
-1,2300,2010.0,1.5252167031569834,1.0,0.00024875621890552146
-1,2400,2010.5,1.6896315216689122,0.5,-0.00024869435463814593
-1,2500,2010.5,1.5557138903142373,0.0,-0.0004973887092762919
-1,2600,2011.5,1.9286922430187723,1.0,-0.0012428535918468375
-1,2700,2010.0,0.859654474521,-1.5,-0.0019900497512437276
-1,2800,2010.5,1.0809653887900235,0.5,-0.0022382491917433134
-1,2900,2010.0,0.6721938204712062,-0.5,-0.0014925373134327957
-1,3000,2009.5,0.22557780808177244,-0.5,-0.0019905449116696117
-1,3100,2009.0,-0.23181903599842096,-0.5,-0.00149328023892481
-1,3200,2006.0,-2.4758586229638544,-3.0,-0.0007477567298105336
-1,3300,2006.0,-2.0900195736366682,0.0,0.0012462612163508524
-1,3400,2007.0,-1.3691939472960186,1.0,0.0007473841554559435
-1,3500,2005.5,-2.0286729908323773,-1.5,0.0024931438544004703
-1,3600,2006.0,-1.5707533819958095,0.5,0.0027417746759721418
-1,3700,2004.5,-2.0328970486066775,-1.5,0.00374158144175607
-1,3800,2008.5,-0.06113276365014142,4.0,0.0009957679860592705
-1,3900,2008.5,-0.048948592329536224,0.0,0.0017425939756037234
-1,4000,2010.5,0.9300232542620787,2.0,0.0004973887092762919
-1,4100,2011.5,1.2950549084630238,1.0,0.0
-1,4200,2012.0,1.3799512871269801,0.5,-0.0007455268389662262
-1,4300,2010.5,0.7016464154456845,-1.5,0.0009947774185525837
-1,4400,2012.0,1.2822941485812,1.5,0.0007455268389662262
-1,4500,2011.5,1.0298511842349298,-0.5,0.00198856574695494
-1,4600,2011.5,1.0298511842349298,0.0,0.00198856574695494
-1,4700,2010.5,0.6000413084774571,-1.0,0.0027356379010197163
-1,4800,2012.5,1.3299582265171677,2.0,0.0019875776397515477
-1,4900,2013.5,1.548379755123359,1.0,0.0007449714427614218
-1,5000,2015.5,1.938941671306796,2.0,0.0
-1,5100,2015.5,1.6836908044873549,0.0,-0.0007442322004465041
-1,5200,2016.0,1.6220101910942597,0.5,-0.002728174603174649
-1,5300,2016.5,1.5752333051880896,0.5,-0.0014877262583684603
-1,5400,2015.0,1.0397707148105233,-1.5,-0.0002481389578163906
-1,5500,2015.5,1.0944524142038152,0.5,0.0004961548002977434
-1,5600,2014.0,0.5680052835493042,-1.5,0.000744786494538241
-1,5700,2010.5,-0.8392834610644975,-3.5,0.0024869435463814593
-1,5800,2013.5,0.2955027942330831,3.0,0.0024832381425379246
-1,5900,2014.5,0.6641516900399766,1.0,0.0019856043683295077
-1,6000,2016.5,1.4612587300730049,2.0,0.0004959087527893757
-1,6100,2015.5,0.8920723069037523,-1.0,0.0027288514016372556
-1,6200,2015.5,0.8075504734819406,0.0,0.002480774001488495
-1,6300,2018.5,1.951999919988513,3.0,0.0007431260837256204
-1,6400,2018.5,1.7011634557751927,0.0,0.0007431260837256204
-1,6500,2017.5,1.1565744653553127,-1.0,0.0022304832713755385
-1,6600,2021.0,2.2294146888974127,3.5,0.0012370113805046934
-1,6700,2020.5,1.8457348165395027,-0.5,0.0009898539965356168
-1,6800,2020.0,1.4786704920794242,-0.5,0.0007425742574256322
-1,6900,2020.0,1.325369297058092,0.0,0.0012376237623761277
-1,7000,2022.0,1.785334903824747,2.0,0.0
-1,7100,2023.5,1.937782318449338,1.5,-0.0032122559920929605
-1,7200,2022.5,1.4434170131932316,-1.0,-0.003708281829419069
-1,7300,2021.5,1.0482850581591805,-1.0,-0.0029680930002473627
-1,7400,2022.5,1.196786581225329,1.0,-0.003955500618046948
-1,7500,2022.0,0.9581993303103336,-0.5,-0.004451038575667643
-1,7600,2017.0,-0.46911640115240777,-5.0,-0.0007436787307882886
-1,7700,2015.0,-1.25569514357938,-2.0,-0.0014888337468982327
-1,7800,2015.5,-1.1855548238889217,0.5,-0.0012403870007442475
-1,7900,2014.5,-1.526721679684304,-1.0,-0.0004964010920823769
-1,8000,2013.0,-1.8235937806412204,-1.5,0.0009935419771485154
-1,8100,2015.5,-1.0375619786406882,2.5,-0.0004961548002977434
-1,8200,2012.0,-1.916944547368319,-3.5,0.0009940357852882276
-1,8300,2013.0,-1.4545269700065977,1.0,0.0012419274714356998
-1,8400,2013.5,-1.1997732212016003,0.5,0.0014899428855226216
-1,8500,2015.0,-0.7638156093551428,1.5,0.001240694789081953
-1,8600,2014.5,-0.8076084743526865,-0.5,0.0022338049143708627
